customer_id,country,gender,age,balance,products_number,active_member,churn
15634602,France,Female,42,0,1,1,1
15647311,Spain,Female,41,83807.86,1,1,0
15619304,France,Female,42,159660.8,3,0,1
15701354,France,Female,39,0,2,0,0
15737888,Spain,Female,43,125510.82,1,1,0
15574012,Spain,Male,44,113755.78,2,0,1
15592531,France,Male,50,0,2,1,0
15656148,Germany,Female,29,115046.74,4,0,1
15792365,France,Male,44,142051.07,2,1,0
15592389,France,Male,27,134603.88,1,1,0
15767821,France,Male,31,102016.72,2,0,0
15737173,Spain,Male,24,0,2,0,0
15632264,France,Female,34,0,2,0,0
15691483,France,Female,25,0,2,0,0
15600882,Spain,Female,35,0,2,1,0
15643966,Germany,Male,45,143129.41,2,1,0
15737452,Germany,Male,58,132602.88,1,0,1
15788218,Spain,Female,24,0,2,1,0
15661507,Spain,Male,45,0,1,0,0
15568982,France,Female,24,0,2,1,0
15577657,France,Male,41,0,2,1,0
15597945,Spain,Female,32,0,2,0,0
15699309,Spain,Female,38,0,1,0,1
15725737,France,Male,46,0,2,1,0
15625047,France,Female,38,0,1,1,0
15738191,France,Male,25,0,2,1,0
15736816,Germany,Male,36,136815.64,1,1,0
15700772,France,Male,44,0,2,0,0
15728693,Germany,Female,43,141349.43,1,1,0
15656300,France,Male,29,59697.17,2,1,0
15589475,Spain,Female,39,0,3,0,1
15706552,France,Male,36,85311.7,1,1,0
15750181,Germany,Male,41,110112.54,2,0,0
15659428,Spain,Female,42,0,2,1,0
15732963,Spain,Female,29,0,2,1,0
15794171,France,Female,45,134264.04,1,0,1
15788448,Spain,Male,31,145260.23,1,1,0
15729599,Spain,Male,33,76548.6,1,1,0
15717426,France,Male,36,0,1,1,0
15585768,Germany,Male,41,70349.48,2,1,0
15619360,Spain,Male,40,0,1,0,0
15738148,France,Female,51,122522.32,1,0,1
15687946,France,Female,61,117419.35,1,1,0
15755196,France,Female,49,131394.56,1,0,1
15684171,Spain,Female,61,155931.11,1,1,0
15754849,Germany,Female,32,109421.13,2,1,0
15602280,Germany,Female,27,112045.67,1,1,1
15771573,Germany,Female,39,137843.8,1,1,1
15766205,Germany,Male,38,103391.38,1,1,0
15771873,Germany,Female,37,103769.22,2,0,0
15616550,Germany,Male,44,116363.37,2,0,0
15768193,Germany,Male,36,146050.97,2,0,0
15683553,France,Female,33,0,2,0,0
15702298,Germany,Male,41,125561.97,1,0,1
15569590,Germany,Male,42,98495.72,1,0,1
15760861,France,Male,43,125211.92,1,1,0
15630053,France,Male,45,127864.4,1,0,0
15647091,Germany,Male,19,75888.2,1,0,0
15623944,Spain,Female,66,0,1,0,1
15804771,France,Male,51,40685.92,1,1,0
15651280,Germany,Male,35,136857,1,0,0
15773469,Germany,Female,27,152328.88,2,0,0
15702014,Spain,Male,33,56084.69,2,0,0
15751208,Spain,Male,56,78707.16,1,1,0
15592461,Germany,Male,26,109166.37,1,1,0
15789484,Germany,Female,36,169831.46,2,1,0
15696061,Germany,Female,34,101633.04,1,0,0
15641582,Germany,Male,43,123180.01,2,1,0
15638424,Germany,Female,35,150725.53,2,1,0
15755648,France,Female,21,98373.26,1,0,0
15703793,Germany,Male,58,133745.44,4,0,1
15620344,France,Male,29,0,1,0,0
15812518,Spain,Female,37,163607.18,1,1,0
15779052,Germany,Female,25,157780.84,2,1,0
15770811,France,Male,36,0,2,1,0
15780961,France,Female,21,178718.19,2,0,0
15614049,France,Male,55,0,2,1,0
15662085,France,Female,32,0,1,1,0
15575185,Spain,Male,33,77253.22,1,1,0
15803136,Germany,Female,41,122189.66,2,0,0
15706021,France,Female,34,96645.54,2,0,0
15663706,France,Female,32,0,1,0,1
15641732,France,Female,36,0,2,0,0
15701164,France,Female,34,90307.62,1,1,0
15738751,France,Female,46,0,2,0,0
15805254,Spain,Female,75,0,2,1,0
15762418,Spain,Male,22,121681.82,1,0,1
15625759,France,Male,30,0,2,0,0
15622897,France,Female,46,0,3,0,1
15767954,Germany,Female,28,81623.67,2,1,0
15757535,Spain,Female,44,0,3,1,1
15731511,France,Male,45,118626.55,2,0,0
15809248,France,Female,36,0,2,0,0
15640635,France,Male,29,0,2,1,0
15676966,Spain,Male,42,0,2,1,0
15699461,Spain,Male,35,176273.95,1,1,0
15738721,Spain,Male,41,102827.44,1,1,0
15693683,Germany,Male,29,97086.4,2,1,0
15604348,Spain,Male,22,0,2,0,0
15633059,France,Male,34,0,2,0,0
15808582,France,Female,40,0,1,1,0
15743192,France,Female,44,0,2,0,0
15580146,France,Male,31,82674.15,1,0,0
15776605,Spain,Male,36,0,2,0,0
15804919,Spain,Female,65,0,1,1,1
15613854,Spain,Female,46,107073.27,2,1,1
15599195,Germany,Male,32,88938.62,1,1,0
15812878,Germany,Female,36,99806.85,1,1,0
15602312,Spain,Male,33,150092.8,1,0,0
15744689,Germany,Male,35,92833.89,1,0,1
15803526,Germany,Male,30,90536.81,1,1,0
15665790,Germany,Male,39,108055.1,2,0,0
15715951,France,Male,42,100238.35,1,0,0
15591100,Spain,Male,36,106190.55,1,1,0
15609618,Germany,Male,28,154475.54,2,1,1
15675522,Germany,Female,30,132351.29,2,1,0
15705512,Germany,Female,37,167864.4,1,0,0
15698028,France,Female,41,0,2,0,0
15661670,Germany,Female,31,107818.63,1,0,1
15600781,Germany,Male,34,185173.81,2,0,0
15682472,France,Male,34,129433.34,2,0,0
15580203,Spain,Male,39,120193.42,1,0,0
15690673,France,Female,39,0,2,0,0
15760085,Germany,Female,48,126384.42,1,1,0
15779659,France,Female,28,0,1,0,0
15627360,France,Male,42,152603.45,1,0,1
15671137,France,Female,52,0,1,1,1
15782688,Germany,Male,56,148507.24,1,0,1
15575492,France,Female,41,0,2,0,0
15591607,France,Male,24,101827.07,1,0,0
15740404,France,Female,34,0,2,1,0
15718369,Germany,Female,33,130862.43,1,1,0
15677871,France,Male,38,122570.87,1,1,0
15642004,France,Male,25,0,2,1,0
15712543,Germany,Male,39,124828.46,2,1,0
15584518,Germany,Female,50,144895.05,2,1,0
15802381,Germany,Female,34,63663.93,1,1,0
15610156,France,Male,40,133463.1,1,1,0
15594408,Spain,Female,48,213146.2,1,0,1
15640905,Spain,Female,35,129490.36,2,1,1
15698932,Germany,Male,44,137452.09,1,0,0
15724944,France,Male,34,0,2,1,0
15628145,France,Female,43,125851.93,1,1,0
15713483,Spain,Male,52,0,1,0,1
15612350,France,Female,31,40915.55,1,0,1
15800703,Spain,Female,21,113157.22,1,1,0
15705707,Spain,Female,29,138296.94,2,0,0
15754105,France,Male,37,106967.18,1,0,0
15703264,France,Male,44,120681.63,1,0,0
15794413,France,Male,32,0,2,1,0
15650237,Spain,Female,32,0,2,0,0
15759618,France,Female,48,0,1,0,1
15811589,Spain,Male,42,0,2,0,0
15689044,France,Male,37,127609.59,1,0,0
15709368,France,Female,43,0,2,1,0
15679145,Spain,Male,57,0,1,0,1
15655007,France,Female,33,0,2,0,0
15623595,Spain,Female,28,0,2,1,0
